职位,薪水,经验,学历,关键词,工作地址
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
杭州余杭区万达广场(未来科技城店)6337
查看地图"
短视频剪辑拍摄/五险,5000-7000元·13薪,经验不限,学历不限,"短视频电影综艺PRPS剪映  岗位内容： 1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。 2. 配合导演的要求完成视频剧本创意的呈现，保证角色、场景、音效等资料的完整性和精准度。 3. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。  任职要求： 1. 具备优秀的剪辑技能,应届毕业实习亦可，可全职稳定工作，尽快到岗。 2. 熟练掌握专业剪辑软件，如Premiere Pro、剪映等。 3. 熟知后期制作流程，对影视行业有充分理解。 4. 具备良好的沟通、协作能力，团队合作意识强。   薪资面议，不低于同行平均水平，双休，缴纳社保，中午休息1个半小时，9点-18点。带薪年假15天","工作地点
龙亭区万达广场(开封店)2
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
利通区万达广场(吴忠店)3214
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
崇明区万达广场(上海崇明店)3125
查看地图"
视频剪辑师,1-2万·13薪,1-3年,本科,"岗位职责：
1、负责公司各类视频的剪辑、后期制作工作，包括但不限于宣传视频、广告视频、短视频等。
2、根据项目需求，制定剪辑方案，对拍摄素材进行筛选、剪辑和合成，确保视频的节奏、画面质量和整体效果。
3、为视频添加合适的音乐、音效、字幕等元素，提升视频的观赏性和吸引力。
4、与拍摄团队、文案策划等密切合作，理解项目创意和需求，确保最终视频符合预期。
5、对视频进行优化和调整，以适应不同平台的发布要求。
任职要求：
1、熟练应用当下AI视频生成和设计工具：即梦、可灵、堆友、闪剪等。
2、熟练掌握主流视频剪辑软件，如 Adobe Premiere Pro、Final Cut Pro 等，有丰富的剪辑经验。
3、具备良好的审美能力和创意构思能力，能够独立完成视频的剪辑和后期制作。
4、对视频节奏、色彩、构图等有敏锐的感知，能够通过剪辑手法提升视频的表现力。
5、有较强的沟通能力和团队协作精神，能够与不同部门的人员有效合作。
6、有相关视频作品者优先考虑，可在简历中附上作品链接。","工作地点
淄博张店区英科医疗智能医疗器械研发营销科技园
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
西安未央区万达广场(大明宫店)4165
查看地图"
线上居家兼职/图文视频编辑/无需经验,100-200元/天,经验不限,学历不限,"1、职位信息
工作平台:快手
工作具体内容:编辑图片/视频/短视频带货
工作要求:每天1-3条，时间自由，按单提成制，多劳多得
2、薪资详情
薪资范围:5000-10000
薪资结构:提成
结算方式:日结
3、收费情况
是否收费:否
收费项目(如有):否
收费标准(如有):否","工作地点
龙岗区万达广场(深圳龙岗店)3465
查看地图"
短视频拍摄剪辑师,3000-5000元,1-3年,高中,"岗位内容：
负责拍摄工厂生产环境、产品（面粉/挂面）展示、员工日常等内容。
独立完成视频剪辑、后期制作及平台发布（抖音、快手、视频号等）。
结合产品特点策划短视频创意，提升品牌曝光与消费者互动。
要求：
1、年龄23-35，熟练使用手机/相机拍摄，掌握构图、布光等基础技巧。
精通剪辑软件，能独立完成字幕、配音制作。
了解短视频平台规则，有食品或快消行业经验者优先。
2、职位福利：工作餐补、提供宿舍、节日福利 。","工作地点
济宁汶上县山东利生集团汶上面业有限公司
查看地图"
摄影剪辑师,4000-6000元,1-3年,本科,"岗位职责： 1. 拍摄高质量的摄影作品； 2. 使用专业软件进行图片和视频的后期处理； 3. 保持对新技术和行业趋势的了解，以提升工作效率和作品质量； 4. 管理和维护摄影设备和软件工具。  任职要求： 1.本科及以上学历、网络与新媒体、新闻学、戏剧影视导演、视觉传达设计数字媒体艺术等专业毕业； 2.对摄影和视频剪辑有深入理解； 3. 熟练掌握相关软件，如Adobe Photoshop, Premiere Pro等； 4.有良好的审美观和创意思维； 5. 良好的沟通能力和团队合作精神； 6.有相关工作经验或教育背景； 7.中共党员优先。","工作地点
四川省眉山市彭山区迎宾大道
查看地图"
视频剪辑师（编辑、美工）,6000-10000元,经验不限,大专,"岗位内容：
1. 负责视频剪辑、后期制作，包括素材的选取、处理和编辑等工作。
2. 配合公司要求完成视频剧本的呈现，保证角色、场景、音效等资料的完整性和精准度。
3. 使用专业视频软件，完成音频、视频、特效的调整和混合，确保视觉与听觉效果的协调性。
4. 了解相关技术规范并遵守，制作出符合企业及标准的优秀影片。
任职要求：
1. 具备优秀的剪辑技能，有相关工作经验者优先。
2. 熟练掌握专业剪辑软件，如Premiere Pro、Final Cut Pro等。
3. 熟知后期制作流程，对影视行业有充分理解。
4. 具备良好的沟通、协作能力，团队合作意识强。","工作地点
宁波慈溪市翔鹰食品机械
查看地图"
居家视频剪辑（短视频带货）,8000-12000元,经验不限,学历不限,"居家办公，不受地区限制，工作时间自由
主要工作内容为抖音短视频剪辑。亿景传媒会为你出具授权书，借助头部达人直播带货的素材，剪辑成短视频并发布至抖音。不会的我们提供免费培训，特别说明，亿景传媒官方不会收取任何费用 。","工作地点
秦皇岛市-海港区-河北大街西段368号秦皇岛茂业天地
查看地图"
短视频编辑,5000-8000元,1-3年,本科,"岗位职责:
1、负责运动类视频内容，根据产品特点和用户研究组需求，从创意策划到拍摄、剪辑、后期的全流程制作；
2、深刻理解运动精神与品牌调性，结合出色的视听语言技巧，创作出具有视觉冲击力、情感共鸣力和强传播性的视频内容，涵盖产品种草宣传、活动赛事集锦、选手故事及社交媒体短视频等；
3、前期策划与拍摄：创意脑暴，理解内容需求，制定拍摄方案和脚本；
4、后期剪辑与包装：参与对拍摄素材进行整理、筛选、剪辑，构建流畅的叙事节奏和视觉冲击力；
5、素材与设备管理：管理视频素材库，确保资源有序、安全；负责拍摄设备的日常维护、保养和耗材管理。

任职要求:
1、25-28周岁，本科及以上学历，影视制作、编导、数字媒体艺术等相关专业；
2、具备1年及以上视频拍摄剪辑经验，拥有成熟的作品集，有运动、健身或体育相关领域经验者优先；
3、具备导演思维，能指导人员进行动作展示，精准捕捉运动的力量感、美感与精彩瞬间；
4、具备优秀的审美能力，同时深入了解社交媒体视频的流行趋势和用户偏好；
5、对画面有高要求，理解镜头语言、构图、运镜技巧，能运用无人机、运动相机等设备进行多视角拍摄，具备良好的调色能力和音频处理能力，能使用AE进行基本的动态图形和特效包装。","工作地点
无锡江阴市海澜之家集团股份有限公司
查看地图"
